duplicate_type,value,count,source_students,global_project_ids
same_project_url,http://dx.doi.org/10.25673/121512,2,23206422;23293539,26764;35903
same_project_url,http://dx.doi.org/10.25673/121672,2,23206422;23293539,26759;35900
same_project_url,http://dx.doi.org/10.25673/121689,2,23206422;23293539,26894;35980
same_project_url,http://dx.doi.org/10.25673/122095,2,23206422;23293539,26892;35975
same_project_url,http://dx.doi.org/10.25673/122106,2,23206422;23293539,27012;36043
same_project_url,http://dx.doi.org/10.25673/122421,2,23206422;23293539,26903;35986
same_project_url,http://dx.doi.org/10.25673/13408,2,23206422;23293539,26783;35912
same_project_url,http://dx.doi.org/10.25673/13470,2,23206422;23293539,26880;35966
same_project_url,http://dx.doi.org/10.25673/14130,2,23206422;23293539,26947;36011
same_project_url,http://dx.doi.org/10.25673/1506,2,23206422;23293539,27010;36041
same_project_url,http://dx.doi.org/10.25673/36841,2,23206422;23293539,26931;36004
same_project_url,http://dx.doi.org/10.25673/37218,2,23206422;23293539,26949;36013
same_project_url,http://dx.doi.org/10.25673/37968,2,23206422;23293539,26826;35938
same_project_url,http://dx.doi.org/10.25673/37996,2,23206422;23293539,26896;35981
same_project_url,http://dx.doi.org/10.25673/73763,2,23206422;23293539,26897;35983
same_project_url,http://dx.doi.org/10.25673/74818,2,23206422;23293539,26960;36016
same_project_url,http://dx.doi.org/10.25673/85311,2,23206422;23293539,26927;36003
same_project_url,http://dx.doi.org/10.25673/85339,2,23206422;23293539,27021;36049
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/852729,2,23273412;23273412,33880;34217
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/853966,2,23273412;23273412,34060;34231
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/854757,3,23273412;23273412;23273412,34061;34141;34520
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/854778,2,23273412;23273412,34140;34519
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/854825,2,23273412;23273412,33885;34062
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/855201,2,23273412;23273412,33883;34230
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/855690,2,23273412;23273412,34083;34229
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/855944,2,23273412;23273412,33879;34216
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/856735,3,23273412;23273412;23273412,34059;34139;34518
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/857658,2,23273412;23273412,34920;35069
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/857869,5,23273412;23273412;23273412;23273412;23273412,33939;34055;34138;34517;34701
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/857910,3,23273412;23273412;23273412,34054;34137;34516
same_project_url,http://reshare.ukdataservice.ac.uk/id/eprint/857940,3,23273412;23273412;23273412,34317;34415;34916
